RSE-Invertible facts:
30:(lift-at f0) in-fam-group
31:(lift-at f1) in-fam-group
32:(lift-at f10) in-fam-group
33:(lift-at f11) in-fam-group
34:(lift-at f12) in-fam-group
35:(lift-at f13) in-fam-group
36:(lift-at f14) in-fam-group
37:(lift-at f15) in-fam-group
38:(lift-at f16) in-fam-group
39:(lift-at f17) in-fam-group
40:(lift-at f18) in-fam-group
41:(lift-at f19) in-fam-group
42:(lift-at f2) in-fam-group
43:(lift-at f20) in-fam-group
44:(lift-at f21) in-fam-group
45:(lift-at f22) in-fam-group
46:(lift-at f23) in-fam-group
47:(lift-at f24) in-fam-group
48:(lift-at f25) in-fam-group
49:(lift-at f26) in-fam-group
50:(lift-at f27) in-fam-group
51:(lift-at f28) in-fam-group
52:(lift-at f29) in-fam-group
53:(lift-at f3) in-fam-group
54:(lift-at f30) in-fam-group
55:(lift-at f31) in-fam-group
56:(lift-at f32) in-fam-group
57:(lift-at f33) in-fam-group
58:(lift-at f34) in-fam-group
59:(lift-at f35) in-fam-group
60:(lift-at f36) in-fam-group
61:(lift-at f37) in-fam-group
62:(lift-at f38) in-fam-group
63:(lift-at f39) in-fam-group
64:(lift-at f4) in-fam-group
65:(lift-at f40) in-fam-group
66:(lift-at f41) in-fam-group
67:(lift-at f42) in-fam-group
68:(lift-at f43) in-fam-group
69:(lift-at f44) in-fam-group
70:(lift-at f45) in-fam-group
71:(lift-at f46) in-fam-group
72:(lift-at f47) in-fam-group
73:(lift-at f48) in-fam-group
74:(lift-at f49) in-fam-group
75:(lift-at f5) in-fam-group
76:(lift-at f50) in-fam-group
77:(lift-at f51) in-fam-group
78:(lift-at f52) in-fam-group
79:(lift-at f53) in-fam-group
80:(lift-at f54) in-fam-group
81:(lift-at f55) in-fam-group
82:(lift-at f56) in-fam-group
83:(lift-at f57) in-fam-group
84:(lift-at f58) in-fam-group
85:(lift-at f59) in-fam-group
86:(lift-at f6) in-fam-group
87:(lift-at f7) in-fam-group
88:(lift-at f8) in-fam-group
89:(lift-at f9) in-fam-group
